,Cast Number,Scan,Station,Depth,Salinity,Temperature,Sigma Theta Density,O2 SB 43 mg/L,O2 % Saturation,Corrected Chlorophyll,Turbidity (SCUFA),Decent Rate
51,1,269986,SR01,2.135,23.5735,22.0763,15.5407,1.4986,19.682,4.838,0.6103,0.206
52,1,269987,SR01,2.175,23.5774,22.0654,15.5466,1.4816,19.456,4.7173,0.6152,0.216
53,1,269988,SR01,2.212,23.6908,22.0617,15.6332,1.4659,19.261,4.5584,0.6126,0.218
54,1,269989,SR01,2.249,23.7799,22.052,15.7031,1.4519,19.083,4.37,0.5715,0.216
55,1,269990,SR01,2.288,23.8028,22.0393,15.7238,1.4423,18.956,4.3132,0.5659,0.21
56,1,269991,SR01,2.325,23.8269,22.0288,15.7447,1.4361,18.873,4.3765,0.5742,0.2
57,1,269992,SR01,2.36,23.8817,22.0207,15.7883,1.4297,18.792,4.4673,0.5676,0.193
58,1,269993,SR01,2.392,23.8699,22.0132,15.7813,1.4255,18.733,4.6846,0.571,0.188
59,1,269994,SR01,2.417,23.9399,22.0087,15.8354,1.4223,18.697,4.6567,0.57,0.183
60,1,269995,SR01,2.446,24.1303,22.003,15.9809,1.4169,18.644,4.6096,0.5622,0.178
61,1,269996,SR01,2.479,24.2072,21.9887,16.0428,1.4133,18.601,4.8444,0.5677,0.177
62,1,269997,SR01,2.513,24.4216,21.9705,16.2096,1.4049,18.507,4.8166,0.5761,0.179
63,1,269998,SR01,2.543,24.7045,21.9436,16.4306,1.3965,18.419,4.5922,0.5744,0.186
64,1,269999,SR01,2.57,24.8025,21.9057,16.5148,1.3928,18.367,4.5393,0.5731,0.193
65,1,270000,SR01,2.6,24.9293,21.8733,16.6192,1.3859,18.279,4.6362,0.5647,0.199
66,1,270001,SR01,2.637,25.0727,21.8452,16.7351,1.3811,18.222,4.6776,0.5621,0.205
67,1,270002,SR01,2.676,25.2055,21.8155,16.8434,1.3746,18.14,4.8067,0.5633,0.209
68,1,270003,SR01,2.717,25.3443,21.7858,16.9562,1.3679,18.056,4.8241,0.573,0.209
69,1,270004,SR01,2.754,25.4487,21.7564,17.043,1.3629,17.992,4.4913,0.5632,0.207
70,1,270005,SR01,2.788,25.5584,21.7295,17.1331,1.3561,17.904,4.2508,0.5205,0.206
71,1,270006,SR01,2.818,25.6531,21.7016,17.2121,1.3489,17.81,4.1338,0.5062,0.206
72,1,270007,SR01,2.848,25.7602,21.6739,17.3005,1.3424,17.726,4.0679,0.5096,0.206
73,1,270008,SR01,2.884,25.8675,21.6498,17.388,1.3374,17.663,3.9894,0.5163,0.208
74,1,270009,SR01,2.927,26.0738,21.6258,17.5506,1.3312,17.595,3.8431,0.5011,0.213
75,1,270010,SR01,2.967,26.2576,21.5916,17.6988,1.3257,17.53,3.5972,0.5156,0.217
76,1,270011,SR01,3.0,26.2366,21.5541,17.6928,1.3198,17.438,3.2371,0.521,0.216
77,1,270012,SR01,3.035,26.2739,21.533,17.7266,1.3095,17.3,2.9248,0.4716,0.21
78,1,270013,SR01,3.076,26.369,21.5208,17.8018,1.2973,17.144,2.9677,0.4573,0.201
79,1,270014,SR01,3.111,26.3923,21.5061,17.8233,1.2854,16.984,2.8765,0.458,0.191
80,1,270015,SR01,3.142,26.4294,21.4918,17.8551,1.275,16.846,2.5694,0.4642,0.179
81,1,270016,SR01,3.172,26.5226,21.4809,17.9286,1.2632,16.696,2.7891,0.469,0.164
82,1,270017,SR01,3.2,26.6432,21.4687,18.0232,1.2535,16.575,2.9281,0.4618,0.143
83,1,270018,SR01,3.222,26.6951,21.4484,18.0678,1.2467,16.484,2.9145,0.4601,0.121
84,1,270019,SR01,3.241,26.6703,21.4286,18.0542,1.2361,16.337,2.9513,0.4646,0.097
85,1,270020,SR01,3.261,26.6888,21.4206,18.0704,1.228,16.229,2.8616,0.4627,0.074
86,1,270021,SR01,3.268,26.7226,21.4169,18.097,1.2243,16.182,2.9314,0.4593,0.052
87,1,270022,SR01,3.271,26.6818,21.413,18.0671,1.2182,16.097,3.0018,0.4592,0.017
88,1,270023,SR01,3.274,26.6938,21.4139,18.0759,1.2087,15.972,2.9334,0.4595,-0.049
89,2,270326,SR02,0.717,4.6285,22.0787,1.2573,5.0266,59.142,7.6052,0.5745,-0.06
90,2,270327,SR02,0.723,4.6286,22.0831,1.2563,5.0279,59.162,7.1756,0.5504,-0.012
91,2,270328,SR02,0.729,4.6283,22.0863,1.2553,5.0271,59.157,6.8784,0.5153,0.031
92,2,270329,SR02,0.737,4.6273,22.0879,1.2542,5.0286,59.176,6.8753,0.5597,0.065
93,2,270330,SR02,0.75,4.6271,22.0901,1.2535,5.0302,59.197,6.9398,0.5696,0.092
94,2,270331,SR02,0.764,4.6274,22.0937,1.2529,5.0318,59.22,6.8797,0.5645,0.117
95,2,270332,SR02,0.785,4.6266,22.0969,1.2515,5.0316,59.221,6.7948,0.5629,0.142
96,2,270333,SR02,0.815,4.6255,22.0981,1.2504,5.0316,59.222,6.7801,0.5653,0.164
97,2,270334,SR02,0.849,4.6242,22.0963,1.2499,5.0337,59.245,6.8202,0.5679,0.181
98,2,270335,SR02,0.885,4.6236,22.0934,1.2501,5.0353,59.259,6.8666,0.5661,0.196
99,2,270336,SR02,0.92,4.6225,22.0897,1.2501,5.0363,59.266,6.8934,0.5709,0.205
100,2,270337,SR02,0.954,4.62,22.0831,1.2498,5.036,59.255,7.0627,0.562,0.207
101,2,270338,SR02,0.989,4.6182,22.0726,1.251,5.0369,59.254,7.1623,0.5576,0.204
102,2,270339,SR02,1.028,4.6187,22.0557,1.2553,5.04,59.271,7.0014,0.5568,0.2
103,2,270340,SR02,1.065,4.621,22.0346,1.2619,5.0395,59.241,6.8199,0.5566,0.198
104,2,270341,SR02,1.096,4.6226,22.0174,1.2672,5.0364,59.187,6.6653,0.5644,0.197
105,2,270342,SR02,1.123,4.6231,22.0083,1.2697,5.0347,59.156,6.4425,0.56,0.194
106,2,270343,SR02,1.156,4.623,22.0043,1.2706,5.035,59.155,6.2229,0.5135,0.192
107,2,270344,SR02,1.192,4.6229,22.0032,1.2708,5.0352,59.157,6.1227,0.4992,0.191
108,2,270345,SR02,1.227,4.6233,22.0022,1.2713,5.0334,59.134,6.0672,0.5033,0.19
109,2,270346,SR02,1.259,4.6243,21.9981,1.273,5.0324,59.118,6.0223,0.5085,0.186
110,2,270347,SR02,1.292,4.6246,21.9928,1.2745,5.0328,59.117,5.9299,0.5156,0.176
111,2,270348,SR02,1.323,4.628,21.9879,1.2782,5.0349,59.138,5.8638,0.5173,0.163
112,2,270349,SR02,1.349,4.6317,21.9819,1.2824,5.0343,59.125,5.9232,0.5225,0.153
113,2,270350,SR02,1.374,4.6431,21.9744,1.2928,5.0332,59.107,6.1306,0.5089,0.143
114,2,270351,SR02,1.394,4.6922,21.967,1.3316,5.0338,59.123,6.4024,0.5049,0.136
115,2,270352,SR02,1.414,4.7652,21.9651,1.3871,5.0336,59.143,6.384,0.5081,0.133
116,2,270353,SR02,1.438,4.8765,21.9734,1.4691,5.029,59.137,6.2233,0.5082,0.133
117,2,270354,SR02,1.46,4.9957,21.9946,1.5541,5.0229,59.13,6.1919,0.508,0.137
118,2,270355,SR02,1.485,5.1195,22.0267,1.64,5.0152,59.117,6.2159,0.5084,0.145
119,2,270356,SR02,1.509,5.2385,22.0692,1.7197,5.0081,59.123,6.1235,0.5175,0.155
120,2,270357,SR02,1.532,5.4293,22.1221,1.8511,4.997,59.117,6.1515,0.5064,0.167
121,2,270358,SR02,1.562,5.5324,22.1844,1.914,4.9824,59.049,6.4543,0.5092,0.179
122,2,270359,SR02,1.595,5.7415,22.2466,2.0569,4.9646,58.979,6.88,0.556,0.193
123,2,270360,SR02,1.63,6.2639,22.3125,2.4348,4.9309,58.829,7.5156,0.5744,0.209
124,2,270361,SR02,1.669,6.8819,22.4057,2.8778,4.8839,58.58,7.8797,0.5641,0.222
125,2,270362,SR02,1.706,7.546,22.5034,3.3542,4.8249,58.202,8.0097,0.5494,0.227
126,2,270363,SR02,1.747,8.6553,22.5871,4.1687,4.7415,57.654,10.3706,0.5635,0.224
127,2,270364,SR02,1.794,9.7762,22.6634,4.9932,4.6414,56.885,13.3911,0.5692,0.215
128,2,270365,SR02,1.833,9.8884,22.7223,5.063,4.5407,55.748,13.761,0.565,0.203
129,2,270366,SR02,1.863,10.1398,22.7606,5.2425,4.4174,54.352,12.1693,0.5687,0.192
130,2,270367,SR02,1.89,10.8538,22.7824,5.7741,4.2693,52.768,9.7723,0.5742,0.18
131,2,270368,SR02,1.916,11.4057,22.7914,6.1869,4.1081,50.947,8.222,0.6165,0.172
132,2,270369,SR02,1.943,11.9286,22.7925,6.58,3.9524,49.165,7.5765,0.6199,0.173
133,2,270370,SR02,1.975,12.4488,22.7893,6.972,3.8109,47.544,7.135,0.6251,0.182
134,2,270371,SR02,2.005,12.6661,22.7817,7.1374,3.6888,46.073,6.8789,0.626,0.191
135,2,270372,SR02,2.036,12.7653,22.7734,7.2142,3.5812,44.747,6.8463,0.5766,0.198
136,2,270373,SR02,2.074,13.1555,22.7673,7.5093,3.4746,43.508,6.8493,0.5635,0.204
137,2,270374,SR02,2.115,13.4141,22.7612,7.7053,3.3801,42.384,6.8298,0.5678,0.209
138,2,270375,SR02,2.15,13.6303,22.7543,7.8697,3.2946,41.358,7.1257,0.5681,0.212
139,2,270376,SR02,2.181,13.7788,22.7476,7.9832,3.2189,40.438,7.4836,0.5729,0.211
140,2,270377,SR02,2.22,14.3335,22.741,8.4022,3.1431,39.607,7.4998,0.5683,0.206
141,2,270378,SR02,2.258,14.7461,22.7263,8.7165,3.0755,38.837,7.4709,0.5673,0.2
142,2,270379,SR02,2.293,14.8302,22.7085,8.7844,3.0163,38.095,7.7733,0.5676,0.194
143,2,270380,SR02,2.325,15.2515,22.6939,9.1052,2.9536,37.385,7.9432,0.5712,0.19
144,2,270381,SR02,2.355,15.2091,22.6779,9.0774,2.8996,36.682,7.9188,0.5759,0.19
145,2,270382,SR02,2.383,15.5886,22.6686,9.3654,2.8365,35.955,7.8543,0.565,0.192
146,2,270383,SR02,2.411,15.4179,22.6609,9.2389,2.7846,35.258,7.7709,0.5652,0.194
147,2,270384,SR02,2.448,16.1183,22.6566,9.7673,2.7209,34.589,7.507,0.5658,0.197
148,2,270385,SR02,2.49,17.7293,22.6337,10.9862,2.6463,33.941,7.2411,0.561,0.196
149,2,270386,SR02,2.526,17.382,22.5882,10.7366,2.6021,33.279,7.0502,0.5616,0.194
150,2,270387,SR02,2.557,17.7606,22.5627,11.0283,2.5432,32.582,6.9401,0.5587,0.193
151,2,270388,SR02,2.587,18.346,22.5467,11.4735,2.4811,31.885,6.8545,0.5613,0.195
152,2,270389,SR02,2.614,18.1814,22.5301,11.3538,2.4239,31.111,6.5842,0.5679,0.198
153,2,270390,SR02,2.643,18.381,22.521,11.5065,2.3612,30.336,6.4749,0.612,0.204
154,2,270391,SR02,2.683,18.8076,22.5139,11.8299,2.3013,29.636,6.3973,0.6199,0.21
155,2,270392,SR02,2.73,19.2104,22.5059,12.1355,2.25,29.038,6.4397,0.5711,0.216
156,2,270393,SR02,2.768,19.0938,22.4968,12.0501,2.2125,28.531,6.5646,0.5658,0.218
157,2,270394,SR02,2.801,19.1927,22.4924,12.1257,2.1776,28.095,6.5554,0.5747,0.215
158,2,270395,SR02,2.837,19.682,22.4882,12.4957,2.1405,27.692,6.5962,0.5698,0.205
159,2,270396,SR02,2.873,19.7136,22.4748,12.523,2.1103,27.3,6.6809,0.5622,0.195
160,2,270397,SR02,2.906,19.6958,22.463,12.5127,2.0892,27.018,6.7854,0.5679,0.192
161,2,270398,SR02,2.937,19.9949,22.4566,12.7398,2.0628,26.72,6.7873,0.5724,0.195
162,2,270399,SR02,2.966,20.1941,22.4462,12.8927,2.0354,26.391,6.6825,0.5696,0.2
163,2,270400,SR02,2.997,20.5379,22.4309,13.156,2.0054,26.047,6.5313,0.5618,0.204
164,2,270401,SR02,3.033,20.9482,22.4057,13.4721,1.97,25.635,6.3694,0.5692,0.207
165,2,270402,SR02,3.077,21.6091,22.3653,13.9813,1.9274,25.159,6.1157,0.5602,0.211
166,2,270403,SR02,3.118,21.8486,22.3099,14.1767,1.8812,24.566,5.6177,0.5697,0.214
167,2,270404,SR02,3.151,21.5529,22.2705,13.9639,1.8337,23.886,5.1046,0.6125,0.215
168,2,270405,SR02,3.181,21.6034,22.2633,14.0039,1.7777,23.161,4.7801,0.6431,0.21
169,2,270406,SR02,3.217,21.9103,22.2626,14.2357,1.7179,22.422,4.559,0.6612,0.201
170,2,270407,SR02,3.258,22.5582,22.2497,14.7282,1.6584,21.721,4.416,0.6352,0.197
171,2,270408,SR02,3.294,22.83,22.2107,14.9437,1.6116,21.127,4.3829,0.6591,0.201
172,2,270409,SR02,3.322,22.9012,22.1694,15.0084,1.5759,20.652,4.4293,0.68,0.204
173,2,270410,SR02,3.349,23.0541,22.1454,15.1302,1.5464,20.274,4.4063,0.6644,0.203
174,2,270411,SR02,3.386,23.3843,22.1254,15.3848,1.5198,19.957,4.3066,0.6267,0.202
175,2,270412,SR02,3.43,23.618,22.0944,15.5696,1.4977,19.682,4.2994,0.6135,0.205
176,2,270413,SR02,3.466,23.6332,22.063,15.5894,1.482,19.466,4.3207,0.6129,0.211
177,2,270414,SR02,3.497,23.7682,22.0431,15.6967,1.4704,19.322,4.3708,0.566,0.218
178,2,270415,SR02,3.531,23.8162,22.026,15.7374,1.4644,19.243,4.5841,0.5584,0.219
179,2,270416,SR02,3.568,24.15,22.0091,15.9942,1.4587,19.199,4.7507,0.5639,0.218
180,2,270417,SR02,3.61,24.4025,21.9765,16.1937,1.4554,19.173,4.9964,0.5688,0.221
181,2,270418,SR02,3.654,24.5435,21.9324,16.3119,1.4517,19.125,4.9441,0.5589,0.227
182,2,270419,SR02,3.691,24.7051,21.8914,16.445,1.4464,19.057,4.457,0.5149,0.231
183,2,270420,SR02,3.724,24.796,21.8581,16.5225,1.438,18.946,4.3101,0.5233,0.233
184,2,270421,SR02,3.763,24.936,21.8322,16.6352,1.4262,18.797,4.3745,0.5548,0.236
185,2,270422,SR02,3.808,25.0484,21.8062,16.7271,1.415,18.653,4.2835,0.5209,0.237
186,2,270423,SR02,3.849,25.1335,21.7827,16.7976,1.405,18.522,4.1008,0.5008,0.235
187,2,270424,SR02,3.892,25.2465,21.764,16.8881,1.3928,18.367,4.0553,0.5118,0.232
188,2,270425,SR02,3.936,25.3443,21.7447,16.9672,1.379,18.189,4.1406,0.5073,0.229
189,2,270426,SR02,3.971,25.3967,21.7255,17.0119,1.3675,18.037,3.9971,0.5098,0.228
190,2,270427,SR02,3.999,25.4275,21.7101,17.0392,1.3573,17.901,3.6586,0.512,0.229
191,2,270428,SR02,4.037,25.4135,21.7,17.0313,1.3485,17.779,3.5812,0.5077,0.231
192,2,270429,SR02,4.084,25.4353,21.6949,17.0492,1.3414,17.687,3.6194,0.5118,0.234
193,2,270430,SR02,4.128,25.475,21.6912,17.0802,1.3361,17.619,3.5451,0.5068,0.236
194,2,270431,SR02,4.17,25.4843,21.6871,17.0883,1.3301,17.54,3.4458,0.5073,0.236
195,2,270432,SR02,4.211,25.5131,21.6835,17.111,1.3259,17.486,3.3324,0.5146,0.231
196,2,270433,SR02,4.248,25.5659,21.6788,17.1522,1.3209,17.424,3.1965,0.5173,0.226
197,2,270434,SR02,4.283,25.7229,21.6707,17.2732,1.3148,17.357,3.0967,0.5135,0.223
198,2,270435,SR02,4.318,25.9656,21.6521,17.4618,1.3068,17.271,2.9683,0.5063,0.217
199,2,270436,SR02,4.356,26.1418,21.6168,17.6045,1.2988,17.171,2.912,0.5003,0.209
200,2,270437,SR02,4.4,26.2537,21.5767,17.6998,1.2921,17.081,2.9517,0.508,0.205
201,2,270438,SR02,4.437,26.3362,21.5438,17.771,1.2829,16.957,2.9862,0.5066,0.202
202,2,270439,SR02,4.463,26.3535,21.5185,17.7907,1.2757,16.857,3.0841,0.4632,0.199
203,2,270440,SR02,4.489,26.3641,21.5037,17.8027,1.2683,16.755,3.1162,0.4517,0.196
204,2,270441,SR02,4.525,26.4773,21.495,17.8906,1.2598,16.651,3.1405,0.4659,0.195
205,2,270442,SR02,4.563,26.5527,21.4797,17.9518,1.2549,16.589,3.0396,0.4618,0.199
206,2,270443,SR02,4.597,26.5543,21.4628,17.9575,1.2469,16.479,3.0734,0.4599,0.204
207,2,270444,SR02,4.633,26.5608,21.4526,17.965,1.241,16.398,2.9975,0.4586,0.206
208,2,270445,SR02,4.668,26.5728,21.4476,17.9755,1.2353,16.322,2.5719,0.4572,0.202
209,2,270446,SR02,4.703,26.5988,21.4446,17.996,1.2291,16.242,2.564,0.4552,0.201
210,2,270447,SR02,4.738,26.5916,21.441,17.9914,1.2262,16.202,2.6731,0.4577,0.199
211,2,270448,SR02,4.77,26.5938,21.4384,17.9938,1.2211,16.134,2.7005,0.467,0.197
212,2,270449,SR02,4.802,26.649,21.4355,18.0364,1.2167,16.08,2.7915,0.4567,0.195
213,2,270450,SR02,4.838,26.6906,21.4289,18.0696,1.2106,16.001,2.9108,0.4446,0.196
214,2,270451,SR02,4.871,26.7185,21.4202,18.0931,1.2067,15.949,2.9782,0.456,0.202
215,2,270452,SR02,4.902,26.7221,21.4117,18.098,1.2027,15.895,2.9227,0.4588,0.21
216,2,270453,SR02,4.936,26.7285,21.4065,18.1042,1.1982,15.835,2.9541,0.4509,0.215
217,2,270454,SR02,4.976,26.7895,21.4033,18.1513,1.195,15.796,2.9807,0.4496,0.219
218,2,270455,SR02,5.02,26.8413,21.3957,18.1925,1.189,15.721,2.9763,0.4538,0.225
219,2,270456,SR02,5.06,26.8576,21.3851,18.2077,1.1858,15.676,2.9828,0.465,0.229
220,2,270457,SR02,5.094,26.8663,21.3771,18.2163,1.183,15.638,3.023,0.4682,0.226
221,2,270458,SR02,5.133,26.8744,21.3724,18.2237,1.1772,15.56,2.9223,0.4532,0.215
222,2,270459,SR02,5.175,26.8758,21.3691,18.2257,1.1726,15.499,2.6679,0.4578,0.203
223,2,270460,SR02,5.213,26.8762,21.3673,18.2264,1.17,15.465,2.5172,0.4591,0.195
224,2,270461,SR02,5.241,26.8746,21.3667,18.2254,1.1651,15.399,2.4686,0.4644,0.19
225,2,270462,SR02,5.265,26.8735,21.3665,18.2246,1.1605,15.338,2.4693,0.4578,0.184
226,2,270463,SR02,5.293,26.8756,21.3669,18.2261,1.1567,15.288,2.4477,0.4642,0.175
227,2,270464,SR02,5.328,26.8766,21.3672,18.2268,1.154,15.252,2.3904,0.505,0.161
228,2,270465,SR02,5.364,26.8779,21.3672,18.2278,1.1525,15.232,2.4019,0.5268,0.141
229,2,270466,SR02,5.393,26.8783,21.3669,18.2281,1.1484,15.179,2.4295,0.5018,0.103
230,2,270467,SR02,5.411,26.8805,21.3666,18.2299,1.1476,15.168,2.4689,0.4713,0.03
231,3,270786,SR03,0.633,8.6095,22.5065,4.154,4.4388,53.878,9.8878,0.502,-0.042
232,3,270787,SR03,0.641,8.569,22.5048,4.124,4.4441,53.929,9.7431,0.5084,0.025
